Bill_ID,DateTime,Item,SKU,Quantity,Unit_Price,Total_Amount,Payment_Type
BILL00024,2024-01-15 10:51:00,Caffè Latte,SKU001,3,180,540,Card
BILL00025,2024-02-21 01:09:00,Iced Americano,SKU007,1,160,160,UPI
BILL00026,2024-03-06 02:52:00,Iced Americano,SKU007,2,160,320,UPI
BILL00027,2024-03-29 12:09:00,Caramel Macchiato,SKU004,2,220,440,UPI
BILL00028,2024-03-15 18:58:00,Cold Brew,SKU006,4,200,800,Cash
BILL00029,2024-03-06 02:49:00,Blueberry Muffin,SKU010,2,140,280,Wallet
BILL00030,2024-02-03 01:16:00,Croissant,SKU009,3,120,360,Wallet
BILL00031,2024-01-29 08:36:00,Cappuccino,SKU002,2,170,340,Card
BILL00032,2024-02-28 19:42:00,Croissant,SKU009,1,120,120,Wallet
BILL00033,2024-01-08 13:04:00,Espresso,SKU003,2,150,300,Wallet
BILL00034,2024-03-02 15:25:00,Croissant,SKU009,1,120,120,Wallet
BILL00035,2024-02-18 10:08:00,Frappuccino,SKU008,3,250,750,Cash
BILL00036,2024-02-15 21:23:00,Iced Americano,SKU007,2,160,320,UPI
BILL00037,2024-01-10 02:46:00,Frappuccino,SKU008,1,250,250,Cash
BILL00038,2024-01-07 01:58:00,Iced Americano,SKU007,2,160,320,Wallet
BILL00039,2024-01-14 13:47:00,Mocha,SKU005,3,210,630,Card
BILL00040,2024-03-11 12:03:00,Caffè Latte,SKU001,3,180,540,UPI
BILL00041,2024-02-07 22:59:00,Blueberry Muffin,SKU010,1,140,140,Wallet
BILL00042,2024-03-24 07:40:00,Cappuccino,SKU002,1,170,170,Card
BILL00043,2024-03-30 13:43:00,Mocha,SKU005,2,210,420,Card
BILL00044,2024-02-12 08:13:00,Cappuccino,SKU002,1,170,170,UPI
BILL00045,2024-02-16 03:48:00,Frappuccino,SKU008,1,250,250,UPI
BILL00046,2024-03-17 02:23:00,Croissant,SKU009,1,120,120,Cash
BILL00047,2024-01-15 05:07:00,Espresso,SKU003,3,150,450,Card
BILL00048,2024-03-25 07:27:00,Espresso,SKU003,2,150,300,Wallet
BILL00049,2024-03-05 02:40:00,Cappuccino,SKU002,1,170,170,Cash
BILL00050,2024-01-20 22:32:00,Caffè Latte,SKU001,2,180,360,Wallet
BILL00051,2024-03-23 10:57:00,Caramel Macchiato,SKU004,2,220,440,Wallet
BILL00052,2024-01-04 04:47:00,Frappuccino,SKU008,3,250,750,Cash
BILL00053,2024-03-30 07:44:00,Espresso,SKU003,1,150,150,Wallet
BILL00054,2024-03-15 23:38:00,Cold Brew,SKU006,4,200,800,Wallet
BILL00055,2024-02-26 03:15:00,Caffè Latte,SKU001,2,180,360,UPI
BILL00056,2024-03-16 14:17:00,Caffè Latte,SKU001,1,180,180,UPI
BILL00057,2024-02-23 02:11:00,Iced Americano,SKU007,4,160,640,Wallet
BILL00058,2024-01-06 20:41:00,Croissant,SKU009,1,120,120,Card
BILL00059,2024-01-24 08:07:00,Blueberry Muffin,SKU010,1,140,140,Cash
BILL00060,2024-02-09 17:51:00,Mocha,SKU005,1,210,210,UPI
BILL00061,2024-02-20 03:41:00,Caffè Latte,SKU001,2,180,360,Wallet
BILL00062,2024-03-09 09:42:00,Espresso,SKU003,3,150,450,Wallet
BILL00063,2024-02-11 00:21:00,Cappuccino,SKU002,2,170,340,Wallet
BILL00064,2024-01-21 03:54:00,Cold Brew,SKU006,2,200,400,Card
BILL00065,2024-03-17 07:25:00,Croissant,SKU009,2,120,240,UPI
BILL00066,2024-03-18 22:41:00,Croissant,SKU009,1,120,120,Wallet
BILL00067,2024-03-06 06:29:00,Espresso,SKU003,3,150,450,Wallet
BILL00068,2024-01-07 18:54:00,Cold Brew,SKU006,4,200,800,Wallet
BILL00069,2024-02-27 22:03:00,Cappuccino,SKU002,4,170,680,Wallet
BILL00070,2024-02-08 22:09:00,Blueberry Muffin,SKU010,3,140,420,UPI
BILL00071,2024-02-20 21:21:00,Frappuccino,SKU008,3,250,750,Wallet
BILL00072,2024-01-28 19:32:00,Mocha,SKU005,1,210,210,UPI
BILL00073,2024-03-25 18:25:00,Frappuccino,SKU008,4,250,1000,Card
BILL00074,2024-01-27 09:35:00,Iced Americano,SKU007,2,160,320,Wallet
BILL00075,2024-02-01 06:24:00,Cold Brew,SKU006,3,200,600,Cash
BILL00076,2024-02-27 23:20:00,Croissant,SKU009,1,120,120,UPI
BILL00077,2024-03-27 00:48:00,Caramel Macchiato,SKU004,1,220,220,Wallet
BILL00078,2024-02-01 00:15:00,Cold Brew,SKU006,3,200,600,Wallet
BILL00079,2024-02-15 06:14:00,Blueberry Muffin,SKU010,2,140,280,Card
BILL00080,2024-01-23 02:47:00,Caramel Macchiato,SKU004,3,220,660,Card
BILL00081,2024-02-12 20:38:00,Caffè Latte,SKU001,2,180,360,Wallet
BILL00082,2024-01-25 15:48:00,Croissant,SKU009,1,120,120,Wallet
BILL00083,2024-02-29 00:59:00,Iced Americano,SKU007,4,160,640,Card
BILL00084,2024-02-02 09:54:00,Mocha,SKU005,4,210,840,Card
BILL00085,2024-01-09 10:49:00,Iced Americano,SKU007,3,160,480,Cash
BILL00086,2024-02-03 16:56:00,Cappuccino,SKU002,1,170,170,Cash
BILL00087,2024-03-16 03:30:00,Croissant,SKU009,2,120,240,Wallet
BILL00088,2024-03-29 11:32:00,Cold Brew,SKU006,2,200,400,Card
BILL00089,2024-01-10 12:17:00,Cappuccino,SKU002,1,170,170,Cash
BILL00090,2024-01-26 17:40:00,Cappuccino,SKU002,1,170,170,Wallet
BILL00091,2024-02-13 17:23:00,Blueberry Muffin,SKU010,2,140,280,UPI
BILL00092,2024-02-03 12:35:00,Espresso,SKU003,1,150,150,Cash
BILL00093,2024-03-25 23:36:00,Iced Americano,SKU007,4,160,640,Wallet
BILL00094,2024-01-24 14:46:00,Iced Americano,SKU007,2,160,320,Cash
BILL00095,2024-02-10 02:33:00,Croissant,SKU009,3,120,360,Card
BILL00096,2024-02-04 04:39:00,Cappuccino,SKU002,1,170,170,Cash
BILL00097,2024-03-25 03:51:00,Frappuccino,SKU008,2,250,500,UPI
BILL00098,2024-02-15 11:42:00,Espresso,SKU003,1,150,150,Wallet
BILL00099,2024-02-29 00:43:00,Caffè Latte,SKU001,3,180,540,Wallet
BILL00100,2024-01-28 14:26:00,Cappuccino,SKU002,2,170,340,Cash
BILL00101,2024-03-12 07:22:00,Frappuccino,SKU008,4,250,1000,Card
BILL00102,2024-01-05 18:36:00,Iced Americano,SKU007,2,160,320,Wallet
BILL00103,2024-02-27 11:25:00,Blueberry Muffin,SKU010,2,140,280,Wallet
BILL00104,2024-03-10 10:06:00,Frappuccino,SKU008,1,250,250,Card
BILL00105,2024-02-22 05:52:00,Espresso,SKU003,3,150,450,UPI
BILL00106,2024-01-22 03:26:00,Frappuccino,SKU008,3,250,750,Card
BILL00107,2024-03-07 19:51:00,Cold Brew,SKU006,3,200,600,Wallet
BILL00108,2024-01-30 10:55:00,Cold Brew,SKU006,4,200,800,Wallet
BILL00109,2024-02-26 11:38:00,Caffè Latte,SKU001,3,180,540,Cash
BILL00110,2024-02-25 02:09:00,Cappuccino,SKU002,1,170,170,Card
BILL00111,2024-03-14 14:53:00,Croissant,SKU009,4,120,480,Wallet
BILL00112,2024-03-28 01:51:00,Mocha,SKU005,3,210,630,UPI
BILL00113,2024-02-12 04:30:00,Frappuccino,SKU008,1,250,250,Cash
BILL00114,2024-01-26 11:50:00,Iced Americano,SKU007,4,160,640,Cash
BILL00115,2024-03-30 03:05:00,Caffè Latte,SKU001,4,180,720,Card
BILL00116,2024-03-08 06:12:00,Frappuccino,SKU008,2,250,500,Card
BILL00117,2024-02-23 13:06:00,Caffè Latte,SKU001,4,180,720,Card
BILL00118,2024-03-24 05:23:00,Cappuccino,SKU002,4,170,680,UPI
BILL00119,2024-01-03 09:29:00,Espresso,SKU003,3,150,450,UPI
BILL00120,2024-02-08 12:50:00,Espresso,SKU003,1,150,150,Cash
BILL00121,2024-03-21 16:52:00,Caramel Macchiato,SKU004,2,220,440,UPI
BILL00122,2024-01-31 11:57:00,Frappuccino,SKU008,3,250,750,Cash
BILL00123,2024-03-05 01:47:00,Mocha,SKU005,3,210,630,UPI
BILL00124,2024-03-22 04:52:00,Mocha,SKU005,1,210,210,UPI
BILL00125,2024-02-24 21:08:00,Espresso,SKU003,2,150,300,UPI
BILL00126,2024-03-23 06:28:00,Caramel Macchiato,SKU004,2,220,440,UPI
BILL00127,2024-01-11 05:05:00,Blueberry Muffin,SKU010,2,140,280,UPI
BILL00128,2024-02-29 18:30:00,Cappuccino,SKU002,4,170,680,Wallet
BILL00129,2024-02-29 07:58:00,Iced Americano,SKU007,4,160,640,Wallet
BILL00130,2024-03-01 11:29:00,Croissant,SKU009,2,120,240,Cash
BILL00131,2024-01-02 15:34:00,Frappuccino,SKU008,3,250,750,Cash
BILL00132,2024-03-30 21:17:00,Iced Americano,SKU007,4,160,640,Wallet
BILL00133,2024-03-09 01:52:00,Frappuccino,SKU008,3,250,750,Cash
BILL00134,2024-02-03 16:45:00,Espresso,SKU003,2,150,300,Wallet
BILL00135,2024-01-26 05:02:00,Caramel Macchiato,SKU004,1,220,220,Cash
BILL00136,2024-01-08 10:17:00,Mocha,SKU005,2,210,420,Card
BILL00137,2024-03-29 11:45:00,Croissant,SKU009,2,120,240,Wallet
BILL00138,2024-02-26 04:37:00,Cappuccino,SKU002,3,170,510,UPI
BILL00139,2024-01-31 12:25:00,Iced Americano,SKU007,1,160,160,Card
BILL00140,2024-01-15 12:51:00,Frappuccino,SKU008,3,250,750,Cash
BILL00141,2024-02-07 12:34:00,Croissant,SKU009,3,120,360,Card
BILL00142,2024-02-12 19:17:00,Caramel Macchiato,SKU004,3,220,660,UPI
BILL00143,2024-01-13 15:10:00,Cappuccino,SKU002,1,170,170,Cash
BILL00144,2024-01-18 07:41:00,Espresso,SKU003,1,150,150,Cash
BILL00145,2024-03-09 14:55:00,Caffè Latte,SKU001,4,180,720,UPI
BILL00146,2024-03-27 14:26:00,Caramel Macchiato,SKU004,2,220,440,Card
BILL00147,2024-01-01 15:10:00,Caffè Latte,SKU001,2,180,360,Cash
BILL00148,2024-01-30 19:32:00,Mocha,SKU005,1,210,210,Cash
BILL00149,2024-01-23 01:38:00,Iced Americano,SKU007,2,160,320,Wallet
BILL00150,2024-03-23 06:02:00,Caffè Latte,SKU001,1,180,180,Wallet
BILL00151,2024-03-04 23:16:00,Blueberry Muffin,SKU010,1,140,140,Card
BILL00152,2024-03-10 23:22:00,Cold Brew,SKU006,2,200,400,Card
BILL00153,2024-03-29 01:06:00,Cold Brew,SKU006,3,200,600,Card
BILL00154,2024-01-10 04:02:00,Frappuccino,SKU008,2,250,500,Cash
BILL00155,2024-01-26 06:25:00,Frappuccino,SKU008,2,250,500,Wallet
BILL00156,2024-03-03 15:58:00,Espresso,SKU003,1,150,150,Card
BILL00157,2024-01-29 06:12:00,Caramel Macchiato,SKU004,4,220,880,UPI
BILL00158,2024-03-29 05:17:00,Iced Americano,SKU007,2,160,320,Wallet
BILL00159,2024-03-12 07:54:00,Blueberry Muffin,SKU010,2,140,280,Wallet
BILL00160,2024-03-10 22:58:00,Croissant,SKU009,3,120,360,Wallet
BILL00161,2024-02-03 03:50:00,Cold Brew,SKU006,2,200,400,Cash
BILL00162,2024-02-25 23:04:00,Caramel Macchiato,SKU004,2,220,440,UPI
BILL00163,2024-03-26 17:15:00,Caffè Latte,SKU001,4,180,720,Wallet
BILL00164,2024-01-13 14:59:00,Iced Americano,SKU007,2,160,320,Card
BILL00165,2024-03-21 21:01:00,Caffè Latte,SKU001,4,180,720,UPI
BILL00166,2024-02-16 22:05:00,Caramel Macchiato,SKU004,1,220,220,Wallet
BILL00167,2024-02-28 08:03:00,Espresso,SKU003,4,150,600,Card
BILL00168,2024-02-15 04:06:00,Iced Americano,SKU007,1,160,160,Cash
BILL00169,2024-03-20 03:37:00,Cappuccino,SKU002,1,170,170,Wallet
BILL00170,2024-02-28 04:20:00,Mocha,SKU005,1,210,210,Card
BILL00171,2024-03-06 20:44:00,Blueberry Muffin,SKU010,2,140,280,Wallet
BILL00172,2024-03-28 23:05:00,Frappuccino,SKU008,4,250,1000,Wallet
BILL00173,2024-02-04 19:14:00,Frappuccino,SKU008,2,250,500,Cash
BILL00174,2024-01-11 15:34:00,Frappuccino,SKU008,4,250,1000,Card
BILL00175,2024-02-11 14:48:00,Caffè Latte,SKU001,2,180,360,Cash
BILL00176,2024-03-13 09:12:00,Iced Americano,SKU007,1,160,160,Cash
BILL00177,2024-03-02 10:29:00,Cold Brew,SKU006,3,200,600,Wallet
BILL00178,2024-03-11 11:17:00,Frappuccino,SKU008,2,250,500,UPI
BILL00179,2024-01-04 13:51:00,Cold Brew,SKU006,3,200,600,Card
BILL00180,2024-02-11 02:06:00,Blueberry Muffin,SKU010,3,140,420,Wallet
BILL00181,2024-02-23 22:24:00,Caramel Macchiato,SKU004,1,220,220,Card
BILL00182,2024-02-25 11:47:00,Caramel Macchiato,SKU004,1,220,220,Card
BILL00183,2024-03-03 02:26:00,Croissant,SKU009,2,120,240,Cash
BILL00184,2024-02-14 22:30:00,Cold Brew,SKU006,4,200,800,Cash
BILL00185,2024-03-16 10:57:00,Caramel Macchiato,SKU004,4,220,880,UPI
BILL00186,2024-03-04 17:20:00,Caramel Macchiato,SKU004,1,220,220,Card
BILL00187,2024-03-29 21:15:00,Croissant,SKU009,2,120,240,Card
BILL00188,2024-02-22 23:57:00,Blueberry Muffin,SKU010,3,140,420,UPI
BILL00189,2024-01-09 22:28:00,Mocha,SKU005,2,210,420,UPI
BILL00190,2024-02-05 02:58:00,Caramel Macchiato,SKU004,3,220,660,UPI
BILL00191,2024-02-22 12:34:00,Iced Americano,SKU007,2,160,320,Card
BILL00192,2024-01-27 02:24:00,Caramel Macchiato,SKU004,3,220,660,Card
BILL00193,2024-03-04 08:34:00,Espresso,SKU003,3,150,450,Cash
BILL00194,2024-02-19 15:49:00,Frappuccino,SKU008,1,250,250,Card
BILL00195,2024-02-24 23:43:00,Espresso,SKU003,4,150,600,Wallet
BILL00196,2024-03-18 06:13:00,Caffè Latte,SKU001,2,180,360,Wallet
BILL00197,2024-02-10 23:39:00,Frappuccino,SKU008,3,250,750,Card
BILL00198,2024-01-30 00:42:00,Caramel Macchiato,SKU004,1,220,220,Cash
BILL00199,2024-02-14 09:06:00,Cappuccino,SKU002,2,170,340,Wallet
BILL00200,2024-02-27 12:42:00,Caffè Latte,SKU001,2,180,360,Cash
BILL00201,2024-03-23 04:37:00,Cappuccino,SKU002,1,170,170,Cash
BILL00202,2024-01-22 05:24:00,Frappuccino,SKU008,1,250,250,UPI
BILL00203,2024-03-11 06:05:00,Blueberry Muffin,SKU010,1,140,140,Cash
BILL00204,2024-03-05 11:15:00,Iced Americano,SKU007,3,160,480,Wallet
BILL00205,2024-01-22 17:43:00,Caramel Macchiato,SKU004,4,220,880,Cash
BILL00206,2024-02-15 11:51:00,Mocha,SKU005,2,210,420,Wallet
BILL00207,2024-02-26 03:09:00,Blueberry Muffin,SKU010,2,140,280,Card
BILL00208,2024-02-12 01:04:00,Caffè Latte,SKU001,2,180,360,Wallet
BILL00209,2024-01-05 20:06:00,Espresso,SKU003,4,150,600,UPI
BILL00210,2024-01-20 01:57:00,Caffè Latte,SKU001,4,180,720,Cash
BILL00211,2024-01-19 05:29:00,Caffè Latte,SKU001,4,180,720,Card
BILL00212,2024-01-31 01:40:00,Blueberry Muffin,SKU010,4,140,560,Card
BILL00213,2024-01-11 19:22:00,Blueberry Muffin,SKU010,3,140,420,Cash
BILL00214,2024-01-21 04:25:00,Blueberry Muffin,SKU010,2,140,280,UPI
BILL00215,2024-02-23 21:35:00,Blueberry Muffin,SKU010,1,140,140,UPI
BILL00216,2024-02-28 04:46:00,Croissant,SKU009,4,120,480,Card
BILL00217,2024-01-13 19:49:00,Cold Brew,SKU006,2,200,400,UPI
BILL00218,2024-03-16 04:39:00,Croissant,SKU009,4,120,480,Cash
BILL00219,2024-03-09 00:33:00,Cold Brew,SKU006,2,200,400,Wallet
BILL00220,2024-03-05 19:07:00,Frappuccino,SKU008,2,250,500,UPI
BILL00221,2024-02-12 12:10:00,Espresso,SKU003,3,150,450,UPI
BILL00222,2024-03-28 14:21:00,Caffè Latte,SKU001,1,180,180,Card
BILL00223,2024-01-09 07:57:00,Cappuccino,SKU002,4,170,680,UPI
BILL00224,2024-03-17 09:25:00,Caramel Macchiato,SKU004,3,220,660,Cash
BILL00225,2024-02-16 03:21:00,Cold Brew,SKU006,1,200,200,Cash
BILL00226,2024-03-07 12:13:00,Iced Americano,SKU007,1,160,160,Wallet
BILL00227,2024-03-24 08:14:00,Cappuccino,SKU002,4,170,680,Wallet
BILL00228,2024-01-03 19:51:00,Blueberry Muffin,SKU010,3,140,420,UPI
BILL00229,2024-01-16 01:18:00,Croissant,SKU009,2,120,240,Wallet
BILL00230,2024-02-03 23:49:00,Caramel Macchiato,SKU004,4,220,880,Cash
BILL00231,2024-02-25 02:25:00,Cappuccino,SKU002,4,170,680,UPI
BILL00232,2024-03-26 02:14:00,Mocha,SKU005,1,210,210,UPI
BILL00233,2024-03-20 04:48:00,Espresso,SKU003,4,150,600,UPI
BILL00234,2024-03-06 10:23:00,Croissant,SKU009,2,120,240,UPI
BILL00235,2024-02-02 02:45:00,Frappuccino,SKU008,2,250,500,Wallet
BILL00236,2024-02-12 14:30:00,Caffè Latte,SKU001,4,180,720,UPI
BILL00237,2024-02-06 18:41:00,Iced Americano,SKU007,1,160,160,Wallet
BILL00238,2024-02-13 04:30:00,Caramel Macchiato,SKU004,1,220,220,Card
BILL00239,2024-03-14 11:57:00,Iced Americano,SKU007,3,160,480,Cash
BILL00240,2024-02-22 16:07:00,Caramel Macchiato,SKU004,2,220,440,UPI
BILL00241,2024-03-11 19:51:00,Frappuccino,SKU008,3,250,750,UPI
BILL00242,2024-02-19 01:37:00,Frappuccino,SKU008,2,250,500,Cash
BILL00243,2024-01-17 06:26:00,Mocha,SKU005,2,210,420,Card
BILL00244,2024-02-09 06:07:00,Croissant,SKU009,3,120,360,UPI
BILL00245,2024-01-12 13:56:00,Frappuccino,SKU008,1,250,250,Wallet
BILL00246,2024-02-23 23:00:00,Frappuccino,SKU008,4,250,1000,UPI
BILL00247,2024-03-25 05:22:00,Mocha,SKU005,4,210,840,Card
BILL00248,2024-01-24 08:40:00,Iced Americano,SKU007,2,160,320,UPI
BILL00249,2024-01-04 15:52:00,Croissant,SKU009,2,120,240,Cash
BILL00250,2024-02-28 06:38:00,Blueberry Muffin,SKU010,3,140,420,Wallet
BILL00251,2024-01-04 07:28:00,Mocha,SKU005,4,210,840,Card
BILL00252,2024-03-19 12:10:00,Blueberry Muffin,SKU010,1,140,140,UPI
BILL00253,2024-01-22 08:47:00,Cappuccino,SKU002,4,170,680,Cash
BILL00254,2024-01-23 02:47:00,Frappuccino,SKU008,3,250,750,UPI
BILL00255,2024-03-06 20:08:00,Croissant,SKU009,1,120,120,UPI
BILL00256,2024-02-04 09:10:00,Mocha,SKU005,4,210,840,Card
BILL00257,2024-03-24 07:49:00,Frappuccino,SKU008,3,250,750,Wallet
BILL00258,2024-03-10 19:15:00,Caffè Latte,SKU001,2,180,360,Cash
BILL00259,2024-03-11 13:21:00,Cold Brew,SKU006,4,200,800,Wallet
BILL00260,2024-01-06 21:05:00,Frappuccino,SKU008,4,250,1000,Wallet
BILL00261,2024-03-17 03:31:00,Caramel Macchiato,SKU004,1,220,220,Card
BILL00262,2024-02-02 12:19:00,Mocha,SKU005,2,210,420,UPI
BILL00263,2024-01-23 15:18:00,Caffè Latte,SKU001,4,180,720,UPI
BILL00264,2024-02-01 12:59:00,Caffè Latte,SKU001,2,180,360,Card
BILL00265,2024-02-17 06:38:00,Iced Americano,SKU007,4,160,640,Card
BILL00266,2024-02-07 05:32:00,Cappuccino,SKU002,2,170,340,Wallet
BILL00267,2024-01-21 00:43:00,Mocha,SKU005,4,210,840,Wallet
BILL00268,2024-03-17 03:58:00,Blueberry Muffin,SKU010,1,140,140,Wallet
BILL00269,2024-02-20 22:12:00,Mocha,SKU005,4,210,840,UPI
BILL00270,2024-02-05 01:17:00,Espresso,SKU003,3,150,450,Cash
BILL00271,2024-01-11 20:18:00,Iced Americano,SKU007,3,160,480,Wallet
BILL00272,2024-02-08 01:17:00,Caffè Latte,SKU001,3,180,540,Cash
BILL00273,2024-01-18 06:19:00,Cappuccino,SKU002,1,170,170,Card
BILL00274,2024-01-21 18:36:00,Caramel Macchiato,SKU004,4,220,880,Wallet
BILL00275,2024-03-19 08:24:00,Mocha,SKU005,3,210,630,UPI
BILL00276,2024-01-12 05:17:00,Frappuccino,SKU008,4,250,1000,Card
BILL00277,2024-03-19 21:28:00,Cold Brew,SKU006,1,200,200,Card
BILL00278,2024-03-19 05:07:00,Blueberry Muffin,SKU010,3,140,420,Wallet
BILL00279,2024-02-05 19:30:00,Blueberry Muffin,SKU010,2,140,280,Cash
BILL00280,2024-02-04 01:58:00,Frappuccino,SKU008,4,250,1000,Cash
BILL00281,2024-03-18 19:43:00,Caffè Latte,SKU001,3,180,540,Cash
BILL00282,2024-01-30 20:56:00,Cappuccino,SKU002,2,170,340,Card
BILL00283,2024-03-01 19:28:00,Espresso,SKU003,4,150,600,Wallet
BILL00284,2024-02-07 10:16:00,Blueberry Muffin,SKU010,1,140,140,Card
BILL00285,2024-03-18 01:17:00,Mocha,SKU005,1,210,210,Card
BILL00286,2024-01-04 06:27:00,Croissant,SKU009,4,120,480,Wallet
BILL00287,2024-02-22 09:15:00,Mocha,SKU005,2,210,420,Cash
BILL00288,2024-03-19 09:24:00,Caramel Macchiato,SKU004,1,220,220,Cash
BILL00289,2024-02-11 14:30:00,Caramel Macchiato,SKU004,1,220,220,UPI
BILL00290,2024-03-25 17:59:00,Cappuccino,SKU002,4,170,680,UPI
BILL00291,2024-01-15 20:40:00,Blueberry Muffin,SKU010,3,140,420,UPI
BILL00292,2024-02-14 15:50:00,Cappuccino,SKU002,4,170,680,Cash
BILL00293,2024-02-18 15:16:00,Cappuccino,SKU002,2,170,340,Wallet
BILL00294,2024-03-08 07:20:00,Cappuccino,SKU002,4,170,680,Wallet
BILL00295,2024-03-11 02:51:00,Cold Brew,SKU006,3,200,600,Cash
BILL00296,2024-01-30 13:19:00,Blueberry Muffin,SKU010,2,140,280,Cash
BILL00297,2024-02-17 16:14:00,Iced Americano,SKU007,2,160,320,Card
BILL00298,2024-02-19 12:46:00,Croissant,SKU009,2,120,240,Cash
BILL00299,2024-02-05 02:49:00,Croissant,SKU009,2,120,240,UPI
BILL00300,2024-02-27 09:21:00,Blueberry Muffin,SKU010,2,140,280,Wallet
BILL00301,2024-03-14 23:44:00,Caramel Macchiato,SKU004,4,220,880,Wallet
BILL00302,2024-01-06 04:53:00,Espresso,SKU003,1,150,150,Cash
BILL00303,2024-02-23 22:54:00,Espresso,SKU003,3,150,450,UPI
BILL00304,2024-01-14 00:57:00,Blueberry Muffin,SKU010,1,140,140,Cash
BILL00305,2024-03-27 15:09:00,Iced Americano,SKU007,3,160,480,Cash
BILL00306,2024-02-17 19:21:00,Cold Brew,SKU006,2,200,400,UPI
BILL00307,2024-03-05 00:36:00,Iced Americano,SKU007,2,160,320,Cash
BILL00308,2024-02-18 18:10:00,Espresso,SKU003,3,150,450,Card
BILL00309,2024-03-25 19:46:00,Espresso,SKU003,4,150,600,Wallet
BILL00310,2024-03-22 21:20:00,Caramel Macchiato,SKU004,1,220,220,Wallet
BILL00311,2024-01-17 18:33:00,Blueberry Muffin,SKU010,1,140,140,Wallet
BILL00312,2024-03-04 22:17:00,Caffè Latte,SKU001,3,180,540,Wallet
BILL00313,2024-03-15 22:59:00,Frappuccino,SKU008,4,250,1000,Wallet
BILL00314,2024-03-21 08:35:00,Cold Brew,SKU006,2,200,400,Card
BILL00315,2024-01-02 19:58:00,Frappuccino,SKU008,3,250,750,Card
BILL00316,2024-02-21 14:06:00,Croissant,SKU009,1,120,120,Card
BILL00317,2024-03-23 06:54:00,Mocha,SKU005,4,210,840,Wallet
BILL00318,2024-03-10 06:33:00,Espresso,SKU003,1,150,150,Card
BILL00319,2024-03-10 13:27:00,Frappuccino,SKU008,1,250,250,Card
BILL00320,2024-02-07 17:25:00,Caramel Macchiato,SKU004,2,220,440,Card
BILL00321,2024-03-14 17:04:00,Blueberry Muffin,SKU010,2,140,280,UPI
BILL00322,2024-01-14 13:09:00,Frappuccino,SKU008,4,250,1000,Card
BILL00323,2024-02-21 12:19:00,Frappuccino,SKU008,1,250,250,UPI
BILL00324,2024-03-12 00:05:00,Cappuccino,SKU002,4,170,680,Cash
BILL00325,2024-02-14 23:11:00,Frappuccino,SKU008,1,250,250,Cash
BILL00326,2024-03-07 09:13:00,Caffè Latte,SKU001,3,180,540,Wallet
BILL00327,2024-03-12 18:50:00,Caramel Macchiato,SKU004,2,220,440,UPI
BILL00328,2024-02-18 01:36:00,Espresso,SKU003,4,150,600,Card
BILL00329,2024-02-26 15:43:00,Cold Brew,SKU006,4,200,800,Wallet
BILL00330,2024-02-10 10:31:00,Cold Brew,SKU006,2,200,400,UPI
BILL00331,2024-02-25 22:22:00,Blueberry Muffin,SKU010,2,140,280,Wallet
BILL00332,2024-03-28 11:26:00,Caffè Latte,SKU001,3,180,540,UPI
BILL00333,2024-02-27 01:22:00,Espresso,SKU003,2,150,300,Wallet
BILL00334,2024-01-21 16:48:00,Caffè Latte,SKU001,4,180,720,Cash
BILL00335,2024-03-25 18:10:00,Mocha,SKU005,1,210,210,Card
BILL00336,2024-03-06 23:35:00,Cold Brew,SKU006,4,200,800,UPI
